year,level_1,level_2,value
2000,Total Fertility Rate,15 - 19 Years,8.8
2000,Total Fertility Rate,20 - 24 Years,42.2
2000,Total Fertility Rate,25 - 29 Years,110.1
2000,Total Fertility Rate,30 - 34 Years,107.9
2000,Total Fertility Rate,35 - 39 Years,43.3
2000,Total Fertility Rate,40 - 44 Years,7.6
2000,Total Fertility Rate,45 - 49 Years,0.2
2001,Total Fertility Rate,15 - 19 Years,8.4
2001,Total Fertility Rate,20 - 24 Years,35.7
2001,Total Fertility Rate,25 - 29 Years,96.2
2001,Total Fertility Rate,30 - 34 Years,94.9
2001,Total Fertility Rate,35 - 39 Years,39.5
2001,Total Fertility Rate,40 - 44 Years,6.8
2001,Total Fertility Rate,45 - 49 Years,0.2
2002,Total Fertility Rate,15 - 19 Years,8
2002,Total Fertility Rate,20 - 24 Years,34.6
2002,Total Fertility Rate,25 - 29 Years,91.6
2002,Total Fertility Rate,30 - 34 Years,96.2
2002,Total Fertility Rate,35 - 39 Years,38.2
2002,Total Fertility Rate,40 - 44 Years,5.8
2002,Total Fertility Rate,45 - 49 Years,0.2
2003,Total Fertility Rate,15 - 19 Years,6.7
2003,Total Fertility Rate,20 - 24 Years,32.4
2003,Total Fertility Rate,25 - 29 Years,82.2
2003,Total Fertility Rate,30 - 34 Years,90
2003,Total Fertility Rate,35 - 39 Years,36.3
2003,Total Fertility Rate,40 - 44 Years,6.1
2003,Total Fertility Rate,45 - 49 Years,0.2
2004,Total Fertility Rate,15 - 19 Years,6.6
2004,Total Fertility Rate,20 - 24 Years,32.2
2004,Total Fertility Rate,25 - 29 Years,80.6
2004,Total Fertility Rate,30 - 34 Years,89.9
2004,Total Fertility Rate,35 - 39 Years,35.6
2004,Total Fertility Rate,40 - 44 Years,6.3
2004,Total Fertility Rate,45 - 49 Years,0.2
2005,Total Fertility Rate,15 - 19 Years,7.2
2005,Total Fertility Rate,20 - 24 Years,32.5
2005,Total Fertility Rate,25 - 29 Years,80.7
2005,Total Fertility Rate,30 - 34 Years,89.2
2005,Total Fertility Rate,35 - 39 Years,36.8
2005,Total Fertility Rate,40 - 44 Years,6.2
2005,Total Fertility Rate,45 - 49 Years,0.2
2006,Total Fertility Rate,15 - 19 Years,6.6
2006,Total Fertility Rate,20 - 24 Years,30.6
2006,Total Fertility Rate,25 - 29 Years,79.6
2006,Total Fertility Rate,30 - 34 Years,93.1
2006,Total Fertility Rate,35 - 39 Years,38.7
2006,Total Fertility Rate,40 - 44 Years,6.4
2006,Total Fertility Rate,45 - 49 Years,0.2
2007,Total Fertility Rate,15 - 19 Years,6.1
2007,Total Fertility Rate,20 - 24 Years,31.2
2007,Total Fertility Rate,25 - 29 Years,78.7
2007,Total Fertility Rate,30 - 34 Years,94.4
2007,Total Fertility Rate,35 - 39 Years,41.5
2007,Total Fertility Rate,40 - 44 Years,6.4
2007,Total Fertility Rate,45 - 49 Years,0.2
2008,Total Fertility Rate,15 - 19 Years,6.1
2008,Total Fertility Rate,20 - 24 Years,29.1
2008,Total Fertility Rate,25 - 29 Years,78.9
2008,Total Fertility Rate,30 - 34 Years,94.6
2008,Total Fertility Rate,35 - 39 Years,41.5
2008,Total Fertility Rate,40 - 44 Years,6.6
2008,Total Fertility Rate,45 - 49 Years,0.2
2009,Total Fertility Rate,15 - 19 Years,5
2009,Total Fertility Rate,20 - 24 Years,25.4
2009,Total Fertility Rate,25 - 29 Years,74.2
2009,Total Fertility Rate,30 - 34 Years,90.1
2009,Total Fertility Rate,35 - 39 Years,42.6
2009,Total Fertility Rate,40 - 44 Years,7
2009,Total Fertility Rate,45 - 49 Years,0.3
2010,Total Fertility Rate,15 - 19 Years,4.8
2010,Total Fertility Rate,20 - 24 Years,23.3
2010,Total Fertility Rate,25 - 29 Years,68.1
2010,Total Fertility Rate,30 - 34 Years,86
2010,Total Fertility Rate,35 - 39 Years,42.2
2010,Total Fertility Rate,40 - 44 Years,6.1
2010,Total Fertility Rate,45 - 49 Years,0.3
2011,Total Fertility Rate,15 - 19 Years,4.7
2011,Total Fertility Rate,20 - 24 Years,22.4
2011,Total Fertility Rate,25 - 29 Years,73.4
2011,Total Fertility Rate,30 - 34 Years,89.5
2011,Total Fertility Rate,35 - 39 Years,42.4
2011,Total Fertility Rate,40 - 44 Years,7.2
2011,Total Fertility Rate,45 - 49 Years,0.3
2012,Total Fertility Rate,15 - 19 Years,4.3
2012,Total Fertility Rate,20 - 24 Years,22.2
2012,Total Fertility Rate,25 - 29 Years,76.7
2012,Total Fertility Rate,30 - 34 Years,99.5
2012,Total Fertility Rate,35 - 39 Years,46.3
2012,Total Fertility Rate,40 - 44 Years,8
2012,Total Fertility Rate,45 - 49 Years,0.3
2013,Total Fertility Rate,15 - 19 Years,3.8
2013,Total Fertility Rate,20 - 24 Years,19.7
2013,Total Fertility Rate,25 - 29 Years,70.5
2013,Total Fertility Rate,30 - 34 Years,90.2
2013,Total Fertility Rate,35 - 39 Years,44.7
2013,Total Fertility Rate,40 - 44 Years,8
2013,Total Fertility Rate,45 - 49 Years,0.3
2014,Total Fertility Rate,15 - 19 Years,3.3
2014,Total Fertility Rate,20 - 24 Years,19.5
2014,Total Fertility Rate,25 - 29 Years,71.1
2014,Total Fertility Rate,30 - 34 Years,99.3
2014,Total Fertility Rate,35 - 39 Years,48.3
2014,Total Fertility Rate,40 - 44 Years,8.3
2014,Total Fertility Rate,45 - 49 Years,0.3
2015,Total Fertility Rate,15 - 19 Years,2.7
2015,Total Fertility Rate,20 - 24 Years,18.7
2015,Total Fertility Rate,25 - 29 Years,68.7
2015,Total Fertility Rate,30 - 34 Years,98.5
2015,Total Fertility Rate,35 - 39 Years,49.9
2015,Total Fertility Rate,40 - 44 Years,8.9
2015,Total Fertility Rate,45 - 49 Years,0.4
2016,Total Fertility Rate,15 - 19 Years,2.7
2016,Total Fertility Rate,20 - 24 Years,17
2016,Total Fertility Rate,25 - 29 Years,65.8
2016,Total Fertility Rate,30 - 34 Years,96.2
2016,Total Fertility Rate,35 - 39 Years,49.7
2016,Total Fertility Rate,40 - 44 Years,8.8
2016,Total Fertility Rate,45 - 49 Years,0.3
2017,Total Fertility Rate,15 - 19 Years,2.6
2017,Total Fertility Rate,20 - 24 Years,15.1
2017,Total Fertility Rate,25 - 29 Years,62.2
2017,Total Fertility Rate,30 - 34 Years,93.3
2017,Total Fertility Rate,35 - 39 Years,48.6
2017,Total Fertility Rate,40 - 44 Years,9
2017,Total Fertility Rate,45 - 49 Years,0.5
