year,level_1,level_2,value
1978,Gross Domestic Product At Current Market Prices,Goods Producing Industries,6063.7
1978,Gross Domestic Product At Current Market Prices,Services Producing Industries,11159.4
1978,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,420.9
1978,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,17644
1978,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,690.1
1979,Gross Domestic Product At Current Market Prices,Goods Producing Industries,7321.2
1979,Gross Domestic Product At Current Market Prices,Services Producing Industries,12539.4
1979,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,459.2
1979,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,20319.8
1979,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,816.2
1980,Gross Domestic Product At Current Market Prices,Goods Producing Industries,9412.3
1980,Gross Domestic Product At Current Market Prices,Services Producing Industries,15010.1
1980,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,481.1
1980,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,24903.5
1980,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,959.9
1981,Gross Domestic Product At Current Market Prices,Goods Producing Industries,10892.3
1981,Gross Domestic Product At Current Market Prices,Services Producing Industries,17731.3
1981,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,628.2
1981,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,29251.8
1981,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,1092.9
1982,Gross Domestic Product At Current Market Prices,Goods Producing Industries,11781.3
1982,Gross Domestic Product At Current Market Prices,Services Producing Industries,20398.3
1982,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,600.2
1982,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,32779.8
1982,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,1190
1983,Gross Domestic Product At Current Market Prices,Goods Producing Industries,13548.7
1983,Gross Domestic Product At Current Market Prices,Services Producing Industries,22239.9
1983,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,844.1
1983,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,36632.7
1983,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,1406.4
1984,Gross Domestic Product At Current Market Prices,Goods Producing Industries,15111.9
1984,Gross Domestic Product At Current Market Prices,Services Producing Industries,23874
1984,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,1155.6
1984,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,40141.5
1984,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,1560.5
1985,Gross Domestic Product At Current Market Prices,Goods Producing Industries,13514.7
1985,Gross Domestic Product At Current Market Prices,Services Producing Industries,24424.1
1985,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,1346.7
1985,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,39285.5
1985,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,1538.4
1986,Gross Domestic Product At Current Market Prices,Goods Producing Industries,13831.8
1986,Gross Domestic Product At Current Market Prices,Services Producing Industries,24158.5
1986,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,1417.6
1986,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,39407.9
1986,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,1446.4
1987,Gross Domestic Product At Current Market Prices,Goods Producing Industries,15097.3
1987,Gross Domestic Product At Current Market Prices,Services Producing Industries,26852.2
1987,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,1742.1
1987,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,43691.6
1987,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,1810.9
1988,Gross Domestic Product At Current Market Prices,Goods Producing Industries,18150.4
1988,Gross Domestic Product At Current Market Prices,Services Producing Industries,30895.5
1988,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,1931.2
1988,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,50977.1
1988,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,2383.1
1989,Gross Domestic Product At Current Market Prices,Goods Producing Industries,19891.6
1989,Gross Domestic Product At Current Market Prices,Services Producing Industries,35905.1
1989,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,2245.9
1989,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,58042.6
1989,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,3181.8
1990,Gross Domestic Product At Current Market Prices,Goods Producing Industries,21973.6
1990,Gross Domestic Product At Current Market Prices,Services Producing Industries,42844.9
1990,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,2421.2
1990,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,67239.7
1990,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,3267.6
1991,Gross Domestic Product At Current Market Prices,Goods Producing Industries,25804.6
1991,Gross Domestic Product At Current Market Prices,Services Producing Industries,46745.2
1991,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,2618.3
1991,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,75168.1
1991,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,3389
1992,Gross Domestic Product At Current Market Prices,Goods Producing Industries,27581
1992,Gross Domestic Product At Current Market Prices,Services Producing Industries,50184.5
1992,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,2905.6
1992,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,80671.1
1992,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,4291.7
1993,Gross Domestic Product At Current Market Prices,Goods Producing Industries,31643.4
1993,Gross Domestic Product At Current Market Prices,Services Producing Industries,57397.2
1993,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,3385.2
1993,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,92425.8
1993,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,5563.7
1994,Gross Domestic Product At Current Market Prices,Goods Producing Industries,35457.7
1994,Gross Domestic Product At Current Market Prices,Services Producing Industries,65522.3
1994,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,4178.5
1994,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,105158.5
1994,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,7529.7
1995,Gross Domestic Product At Current Market Prices,Goods Producing Industries,39396.5
1995,Gross Domestic Product At Current Market Prices,Services Producing Industries,72015.4
1995,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,4768.9
1995,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,116180.8
1995,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,8394.5
1996,Gross Domestic Product At Current Market Prices,Goods Producing Industries,43072.8
1996,Gross Domestic Product At Current Market Prices,Services Producing Industries,79029.7
1996,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,5386.1
1996,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,127488.6
1996,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,8440.7
1997,Gross Domestic Product At Current Market Prices,Goods Producing Industries,46373.3
1997,Gross Domestic Product At Current Market Prices,Services Producing Industries,87269.6
1997,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,5912.9
1997,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,139555.8
1997,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,9167.7
1998,Gross Domestic Product At Current Market Prices,Goods Producing Industries,46131.1
1998,Gross Domestic Product At Current Market Prices,Services Producing Industries,83806.8
1998,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,6216.1
1998,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,136154
1998,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,7286.3
1999,Gross Domestic Product At Current Market Prices,Goods Producing Industries,45247
1999,Gross Domestic Product At Current Market Prices,Services Producing Industries,86550.7
1999,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,5715.3
1999,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,137513
1999,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,8736.9
2000,Gross Domestic Product At Current Market Prices,Goods Producing Industries,53789.7
2000,Gross Domestic Product At Current Market Prices,Services Producing Industries,94432
2000,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,5758.1
2000,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,153979.8
2000,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,11237.9
2001,Gross Domestic Product At Current Market Prices,Goods Producing Industries,48684.9
2001,Gross Domestic Product At Current Market Prices,Services Producing Industries,95705.1
2001,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,6020.5
2001,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,150410.5
2001,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,9563.6
2002,Gross Domestic Product At Current Market Prices,Goods Producing Industries,50536.6
2002,Gross Domestic Product At Current Market Prices,Services Producing Industries,99757.6
2002,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,5708.9
2002,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,156003.1
2002,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,8626.8
2003,Gross Domestic Product At Current Market Prices,Goods Producing Industries,50878.8
2003,Gross Domestic Product At Current Market Prices,Services Producing Industries,103008.4
2003,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,5981.2
2003,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,159868.4
2003,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,9127.4
2004,Gross Domestic Product At Current Market Prices,Goods Producing Industries,61102.1
2004,Gross Domestic Product At Current Market Prices,Services Producing Industries,116441.6
2004,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,5763.6
2004,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,183307.3
2004,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,9694.2
2005,Gross Domestic Product At Current Market Prices,Goods Producing Industries,65674.1
2005,Gross Domestic Product At Current Market Prices,Services Producing Industries,130585.9
2005,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,6317.8
2005,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,202577.8
2005,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,9496.2
2006,Gross Domestic Product At Current Market Prices,Goods Producing Industries,71459.5
2006,Gross Domestic Product At Current Market Prices,Services Producing Industries,146491.9
2006,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,7012.2
2006,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,224963.6
2006,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,9871.4
2007,Gross Domestic Product At Current Market Prices,Goods Producing Industries,75170.5
2007,Gross Domestic Product At Current Market Prices,Services Producing Industries,172616.2
2007,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,7943.3
2007,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,255730
2007,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,15519.8
2008,Gross Domestic Product At Current Market Prices,Goods Producing Industries,70548.6
2008,Gross Domestic Product At Current Market Prices,Services Producing Industries,177033.6
2008,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,10166.2
2008,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,257748.4
2008,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,14232
2009,Gross Domestic Product At Current Market Prices,Goods Producing Industries,74219.6
2009,Gross Domestic Product At Current Market Prices,Services Producing Industries,181345.1
2009,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,10351.7
2009,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,265916.4
2009,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,13941.6
2010,Gross Domestic Product At Current Market Prices,Goods Producing Industries,84230.3
2010,Gross Domestic Product At Current Market Prices,Services Producing Industries,208683.4
2010,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,11514.3
2010,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,304428
2010,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,17933.1
2011,Gross Domestic Product At Current Market Prices,Goods Producing Industries,85984.9
2011,Gross Domestic Product At Current Market Prices,Services Producing Industries,227362.8
2011,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,13797.2
2011,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,327144.9
2011,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,19966.3
2012,Gross Domestic Product At Current Market Prices,Goods Producing Industries,89624.3
2012,Gross Domestic Product At Current Market Prices,Services Producing Industries,237486.4
2012,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,14992
2012,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,342102.7
2012,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,21152.2
2013,Gross Domestic Product At Current Market Prices,Goods Producing Industries,88333.6
2013,Gross Domestic Product At Current Market Prices,Services Producing Industries,254150.4
2013,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,16308.8
2013,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,358792.8
2013,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,22170.9
2014,Gross Domestic Product At Current Market Prices,Goods Producing Industries,94968.1
2014,Gross Domestic Product At Current Market Prices,Services Producing Industries,261172.8
2014,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,16861.9
2014,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,373002.8
2014,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,21748.9
2015,Gross Domestic Product At Current Market Prices,Goods Producing Industries,101507.8
2015,Gross Domestic Product At Current Market Prices,Services Producing Industries,275133.2
2015,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,17175.9
2015,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,393816.9
2015,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,24256.7
2016,Gross Domestic Product At Current Market Prices,Goods Producing Industries,101653.1
2016,Gross Domestic Product At Current Market Prices,Services Producing Industries,283100.5
2016,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,16667.5
2016,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,401421.1
2016,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,26517.7
2017,Gross Domestic Product At Current Market Prices,Goods Producing Industries,103944.2
2017,Gross Domestic Product At Current Market Prices,Services Producing Industries,298742.9
2017,Gross Domestic Product At Current Market Prices,Ownership Of Dwellings,16304.6
2017,Gross Domestic Product At Current Market Prices,Gross Value Added At Basic Prices,418991.7
2017,Gross Domestic Product At Current Market Prices,Add: Taxes On Products,28291.8
